File/Folder,Date,Time,Size
gen1ou-0.txt,01-Sep-2024,13:27,11771
gen1ou-0.txt.gz,01-Sep-2024,13:27,3046
gen1ou-1500.txt,01-Sep-2024,13:27,11773
gen1ou-1500.txt.gz,01-Sep-2024,13:27,3272
gen1ou-1630.txt,01-Sep-2024,13:27,11773
gen1ou-1630.txt.gz,01-Sep-2024,13:27,3204
gen1ou-1760.txt,01-Sep-2024,13:27,11773
gen1ou-1760.txt.gz,01-Sep-2024,13:27,3143
gen1pu-0.txt,01-Sep-2024,13:27,5620
gen1pu-0.txt.gz,01-Sep-2024,13:27,1518
gen1pu-1500.txt,01-Sep-2024,13:27,5622
gen1pu-1500.txt.gz,01-Sep-2024,13:27,1658
gen1pu-1630.txt,01-Sep-2024,13:27,5622
gen1pu-1630.txt.gz,01-Sep-2024,13:27,1568
gen1pu-1760.txt,01-Sep-2024,13:27,5622
gen1pu-1760.txt.gz,01-Sep-2024,13:27,1565
gen1rbycap-0.txt,01-Sep-2024,13:27,3321
gen1rbycap-0.txt.gz,01-Sep-2024,13:27,633
gen1rbycap-1500.txt,01-Sep-2024,13:27,3323
gen1rbycap-1500.txt.gz,01-Sep-2024,13:27,741
gen1rbycap-1630.txt,01-Sep-2024,13:27,3323
gen1rbycap-1630.txt.gz,01-Sep-2024,13:27,650
gen1rbycap-1760.txt,01-Sep-2024,13:27,3321
gen1rbycap-1760.txt.gz,01-Sep-2024,13:27,650
gen1ubers-0.txt,01-Sep-2024,13:27,10868
gen1ubers-0.txt.gz,01-Sep-2024,13:27,2525
gen1ubers-1500.txt,01-Sep-2024,13:27,10870
gen1ubers-1500.txt.gz,01-Sep-2024,13:27,2766
gen1ubers-1630.txt,01-Sep-2024,13:27,10870
gen1ubers-1630.txt.gz,01-Sep-2024,13:27,2660
gen1ubers-1760.txt,01-Sep-2024,13:27,10870
gen1ubers-1760.txt.gz,01-Sep-2024,13:27,2649
gen1zu-0.txt,01-Sep-2024,13:27,3815
gen1zu-0.txt.gz,01-Sep-2024,13:27,1066
gen1zu-1500.txt,01-Sep-2024,13:27,3817
gen1zu-1500.txt.gz,01-Sep-2024,13:27,1190
gen1zu-1630.txt,01-Sep-2024,13:27,3817
gen1zu-1630.txt.gz,01-Sep-2024,13:27,1155
gen1zu-1760.txt,01-Sep-2024,13:27,3816
gen1zu-1760.txt.gz,01-Sep-2024,13:27,1144
gen2ou-0.txt,01-Sep-2024,13:27,15624
gen2ou-0.txt.gz,01-Sep-2024,13:27,3825
gen2ou-1500.txt,01-Sep-2024,13:27,15626
gen2ou-1500.txt.gz,01-Sep-2024,13:27,4175
gen2ou-1630.txt,01-Sep-2024,13:27,15626
gen2ou-1630.txt.gz,01-Sep-2024,13:27,4021
gen2ou-1760.txt,01-Sep-2024,13:27,15625
gen2ou-1760.txt.gz,01-Sep-2024,13:27,4018
gen2zu-0.txt,01-Sep-2024,13:27,5865
gen2zu-0.txt.gz,01-Sep-2024,13:27,1682
gen2zu-1500.txt,01-Sep-2024,13:27,5867
gen2zu-1500.txt.gz,01-Sep-2024,13:27,1816
gen2zu-1630.txt,01-Sep-2024,13:27,5867
gen2zu-1630.txt.gz,01-Sep-2024,13:27,1783
gen2zu-1760.txt,01-Sep-2024,13:27,5867
gen2zu-1760.txt.gz,01-Sep-2024,13:27,1784
gen3ou-0.txt,01-Sep-2024,13:27,25384
gen3ou-0.txt.gz,01-Sep-2024,13:27,6482
gen3ou-1500.txt,01-Sep-2024,13:27,25386
gen3ou-1500.txt.gz,01-Sep-2024,13:27,6830
gen3ou-1630.txt,01-Sep-2024,13:27,25386
gen3ou-1630.txt.gz,01-Sep-2024,13:27,6697
gen3ou-1760.txt,01-Sep-2024,13:27,25386
gen3ou-1760.txt.gz,01-Sep-2024,13:27,6611
gen3zu-0.txt,01-Sep-2024,13:27,11689
gen3zu-0.txt.gz,01-Sep-2024,13:27,3303
gen3zu-1500.txt,01-Sep-2024,13:27,11691
gen3zu-1500.txt.gz,01-Sep-2024,13:27,3525
gen3zu-1630.txt,01-Sep-2024,13:27,11691
gen3zu-1630.txt.gz,01-Sep-2024,13:27,3489
gen3zu-1760.txt,01-Sep-2024,13:27,11691
gen3zu-1760.txt.gz,01-Sep-2024,13:27,3446
gen4ou-0.txt,01-Sep-2024,13:27,28417
gen4ou-0.txt.gz,01-Sep-2024,13:27,7084
gen4ou-1500.txt,01-Sep-2024,13:27,28419
gen4ou-1500.txt.gz,01-Sep-2024,13:27,7520
gen4ou-1630.txt,01-Sep-2024,13:27,28418
gen4ou-1630.txt.gz,01-Sep-2024,13:27,7354
gen4ou-1760.txt,01-Sep-2024,13:27,28419
gen4ou-1760.txt.gz,01-Sep-2024,13:27,7248
gen5bw1ou-0.txt,01-Sep-2024,13:27,4880
gen5bw1ou-0.txt.gz,01-Sep-2024,13:27,875
gen5bw1ou-1500.txt,01-Sep-2024,13:27,4880
gen5bw1ou-1500.txt.gz,01-Sep-2024,13:27,1080
gen5bw1ou-1630.txt,01-Sep-2024,13:27,4882
gen5bw1ou-1630.txt.gz,01-Sep-2024,13:27,941
gen5bw1ou-1760.txt,01-Sep-2024,13:27,4882
gen5bw1ou-1760.txt.gz,01-Sep-2024,13:27,929
gen5ou-0.txt,01-Sep-2024,13:27,39733
gen5ou-0.txt.gz,01-Sep-2024,13:27,9171
gen5ou-1500.txt,01-Sep-2024,13:27,39735
gen5ou-1500.txt.gz,01-Sep-2024,13:27,9957
gen5ou-1630.txt,01-Sep-2024,13:27,39735
gen5ou-1630.txt.gz,01-Sep-2024,13:27,9748
gen5ou-1760.txt,01-Sep-2024,13:27,39735
gen5ou-1760.txt.gz,01-Sep-2024,13:27,9609
gen6doublesou-0.txt,01-Sep-2024,13:27,36370
gen6doublesou-0.txt.gz,01-Sep-2024,13:27,7121
gen6doublesou-1500.txt,01-Sep-2024,13:27,36372
gen6doublesou-1500.txt.gz,01-Sep-2024,13:27,8453
gen6doublesou-1630.txt,01-Sep-2024,13:27,36372
gen6doublesou-1630.txt.gz,01-Sep-2024,13:27,8287
gen6doublesou-1760.txt,01-Sep-2024,13:27,36372
gen6doublesou-1760.txt.gz,01-Sep-2024,13:27,8110
gen6megasrevisited-0.txt,01-Sep-2024,13:27,27267
gen6megasrevisited-0.txt.gz,01-Sep-2024,13:27,5024
gen6megasrevisited-1500.txt,01-Sep-2024,13:27,27269
gen6megasrevisited-1500.txt.gz,01-Sep-2024,13:27,6063
gen6megasrevisited-1630.txt,01-Sep-2024,13:27,27269
gen6megasrevisited-1630.txt.gz,01-Sep-2024,13:27,5720
gen6megasrevisited-1760.txt,01-Sep-2024,13:27,27269
gen6megasrevisited-1760.txt.gz,01-Sep-2024,13:27,5688
gen6ou-0.txt,01-Sep-2024,13:27,47851
gen6ou-0.txt.gz,01-Sep-2024,13:27,11034
gen6ou-1500.txt,01-Sep-2024,13:27,47853
gen6ou-1500.txt.gz,01-Sep-2024,13:27,12017
gen6ou-1630.txt,01-Sep-2024,13:27,47853
gen6ou-1630.txt.gz,01-Sep-2024,13:27,11796
gen6ou-1760.txt,01-Sep-2024,13:27,47853
gen6ou-1760.txt.gz,01-Sep-2024,13:27,11610
gen7doublesou-0.txt,01-Sep-2024,13:27,48507
gen7doublesou-0.txt.gz,01-Sep-2024,13:27,8594
gen7doublesou-1500.txt,01-Sep-2024,13:27,48509
gen7doublesou-1500.txt.gz,01-Sep-2024,13:27,10340
gen7doublesou-1630.txt,01-Sep-2024,13:27,48508
gen7doublesou-1630.txt.gz,01-Sep-2024,13:27,10088
gen7doublesou-1760.txt,01-Sep-2024,13:27,48508
gen7doublesou-1760.txt.gz,01-Sep-2024,13:27,9828
gen7ou-0.txt,01-Sep-2024,13:27,61711
gen7ou-0.txt.gz,01-Sep-2024,13:27,14653
gen7ou-1500.txt,01-Sep-2024,13:27,61713
gen7ou-1500.txt.gz,01-Sep-2024,13:27,15676
gen7ou-1630.txt,01-Sep-2024,13:27,61713
gen7ou-1630.txt.gz,01-Sep-2024,13:27,15405
gen7ou-1760.txt,01-Sep-2024,13:27,61713
gen7ou-1760.txt.gz,01-Sep-2024,13:27,15197
gen7purehackmons-0.txt,01-Sep-2024,13:27,68275
gen7purehackmons-0.txt.gz,01-Sep-2024,13:27,13999
gen7purehackmons-1500.txt,01-Sep-2024,13:27,68277
gen7purehackmons-1500.txt.gz,01-Sep-2024,13:27,15754
gen7purehackmons-1630.txt,01-Sep-2024,13:27,68277
gen7purehackmons-1630.txt.gz,01-Sep-2024,13:27,15437
gen7purehackmons-1760.txt,01-Sep-2024,13:27,68276
gen7purehackmons-1760.txt.gz,01-Sep-2024,13:27,15125
gen8doublesou-0.txt,01-Sep-2024,13:27,35962
gen8doublesou-0.txt.gz,01-Sep-2024,13:27,6204
gen8doublesou-1500.txt,01-Sep-2024,13:27,35964
gen8doublesou-1500.txt.gz,01-Sep-2024,13:27,7718
gen8doublesou-1630.txt,01-Sep-2024,13:27,35964
gen8doublesou-1630.txt.gz,01-Sep-2024,13:27,7472
gen8doublesou-1760.txt,01-Sep-2024,13:27,35964
gen8doublesou-1760.txt.gz,01-Sep-2024,13:27,7322
gen8nationaldex-0.txt,01-Sep-2024,13:27,66549
gen8nationaldex-0.txt.gz,01-Sep-2024,13:27,14265
gen8nationaldex-1500.txt,01-Sep-2024,13:27,66551
gen8nationaldex-1500.txt.gz,01-Sep-2024,13:27,15981
gen8nationaldex-1630.txt,01-Sep-2024,13:27,66551
gen8nationaldex-1630.txt.gz,01-Sep-2024,13:27,15797
gen8nationaldex-1760.txt,01-Sep-2024,13:27,66551
gen8nationaldex-1760.txt.gz,01-Sep-2024,13:27,15489
gen8ou-0.txt,01-Sep-2024,13:27,45885
gen8ou-0.txt.gz,01-Sep-2024,13:27,10766
gen8ou-1500.txt,01-Sep-2024,13:27,45887
gen8ou-1500.txt.gz,01-Sep-2024,13:27,11693
gen8ou-1630.txt,01-Sep-2024,13:27,45887
gen8ou-1630.txt.gz,01-Sep-2024,13:27,11515
gen8ou-1760.txt,01-Sep-2024,13:27,45887
gen8ou-1760.txt.gz,01-Sep-2024,13:27,11242
gen8uu-0.txt,01-Sep-2024,13:27,6848
gen8uu-0.txt.gz,01-Sep-2024,13:27,1215
gen8uu-1500.txt,01-Sep-2024,13:27,6849
gen8uu-1500.txt.gz,01-Sep-2024,13:27,1467
gen8uu-1630.txt,01-Sep-2024,13:27,6850
gen8uu-1630.txt.gz,01-Sep-2024,13:27,1348
gen8uu-1760.txt,01-Sep-2024,13:27,6848
gen8uu-1760.txt.gz,01-Sep-2024,13:27,1280
gen91v1-0.txt,01-Sep-2024,13:27,55976
gen91v1-0.txt.gz,01-Sep-2024,13:27,12541
gen91v1-1500.txt,01-Sep-2024,13:27,55975
gen91v1-1500.txt.gz,01-Sep-2024,13:27,13673
gen91v1-1630.txt,01-Sep-2024,13:27,55976
gen91v1-1630.txt.gz,01-Sep-2024,13:27,13340
gen91v1-1760.txt,01-Sep-2024,13:27,55976
gen91v1-1760.txt.gz,01-Sep-2024,13:27,13283
gen92v2doubles-0.txt,01-Sep-2024,13:27,42195
gen92v2doubles-0.txt.gz,01-Sep-2024,13:27,8108
gen92v2doubles-1500.txt,01-Sep-2024,13:27,42197
gen92v2doubles-1500.txt.gz,01-Sep-2024,13:27,9568
gen92v2doubles-1630.txt,01-Sep-2024,13:27,42197
gen92v2doubles-1630.txt.gz,01-Sep-2024,13:27,9450
gen92v2doubles-1760.txt,01-Sep-2024,13:27,42197
gen92v2doubles-1760.txt.gz,01-Sep-2024,13:27,9314
gen9almostanyability-0.txt,01-Sep-2024,13:27,45478
gen9almostanyability-0.txt.gz,01-Sep-2024,13:27,11158
gen9almostanyability-1500.txt,01-Sep-2024,13:27,45480
gen9almostanyability-1500.txt.gz,01-Sep-2024,13:27,12003
gen9almostanyability-1630.txt,01-Sep-2024,13:27,45480
gen9almostanyability-1630.txt.gz,01-Sep-2024,13:27,11862
gen9almostanyability-1760.txt,01-Sep-2024,13:27,45480
gen9almostanyability-1760.txt.gz,01-Sep-2024,13:27,11673
gen9anythinggoes-0.txt,01-Sep-2024,13:27,68524
gen9anythinggoes-0.txt.gz,01-Sep-2024,13:27,17563
gen9anythinggoes-1500.txt,01-Sep-2024,13:27,68526
gen9anythinggoes-1500.txt.gz,01-Sep-2024,13:27,18492
gen9anythinggoes-1630.txt,01-Sep-2024,13:27,68526
gen9anythinggoes-1630.txt.gz,01-Sep-2024,13:27,18370
gen9anythinggoes-1760.txt,01-Sep-2024,13:27,68526
gen9anythinggoes-1760.txt.gz,01-Sep-2024,13:27,18055
gen9balancedhackmons-0.txt,01-Sep-2024,13:27,79347
gen9balancedhackmons-0.txt.gz,01-Sep-2024,13:27,15808
gen9balancedhackmons-1500.txt,01-Sep-2024,13:27,79349
gen9balancedhackmons-1500.txt.gz,01-Sep-2024,13:27,18054
gen9balancedhackmons-1630.txt,01-Sep-2024,13:27,79349
gen9balancedhackmons-1630.txt.gz,01-Sep-2024,13:27,17614
gen9balancedhackmons-1760.txt,01-Sep-2024,13:27,79349
gen9balancedhackmons-1760.txt.gz,01-Sep-2024,13:27,17162
gen9bssregg-0.txt,01-Sep-2024,13:27,43019
gen9bssregg-0.txt.gz,01-Sep-2024,13:27,9858
gen9bssregg-1500.txt,01-Sep-2024,13:27,43021
gen9bssregg-1500.txt.gz,01-Sep-2024,13:27,10843
gen9bssregg-1630.txt,01-Sep-2024,13:27,43021
gen9bssregg-1630.txt.gz,01-Sep-2024,13:27,10508
gen9bssregg-1760.txt,01-Sep-2024,13:27,43021
gen9bssregg-1760.txt.gz,01-Sep-2024,13:27,10408
gen9bssregh-0.txt,01-Sep-2024,13:27,38014
gen9bssregh-0.txt.gz,01-Sep-2024,13:27,9916
gen9bssregh-1500.txt,01-Sep-2024,13:27,38016
gen9bssregh-1500.txt.gz,01-Sep-2024,13:27,10429
gen9bssregh-1630.txt,01-Sep-2024,13:27,38016
gen9bssregh-1630.txt.gz,01-Sep-2024,13:27,10318
gen9bssregh-1760.txt,01-Sep-2024,13:27,38016
gen9bssregh-1760.txt.gz,01-Sep-2024,13:27,10238
gen9cap-0.txt,01-Sep-2024,13:27,29650
gen9cap-0.txt.gz,01-Sep-2024,13:27,5855
gen9cap-1500.txt,01-Sep-2024,13:27,29652
gen9cap-1500.txt.gz,01-Sep-2024,13:27,6746
gen9cap-1630.txt,01-Sep-2024,13:27,29652
gen9cap-1630.txt.gz,01-Sep-2024,13:27,6530
gen9cap-1760.txt,01-Sep-2024,13:27,29651
gen9cap-1760.txt.gz,01-Sep-2024,13:27,6490
gen9categoryswap-0.txt,01-Sep-2024,13:27,4879
gen9categoryswap-0.txt.gz,01-Sep-2024,13:27,877
gen9categoryswap-1500.txt,01-Sep-2024,13:27,4881
gen9categoryswap-1500.txt.gz,01-Sep-2024,13:27,1055
gen9categoryswap-1630.txt,01-Sep-2024,13:27,4881
gen9categoryswap-1630.txt.gz,01-Sep-2024,13:27,968
gen9categoryswap-1760.txt,01-Sep-2024,13:27,4881
gen9categoryswap-1760.txt.gz,01-Sep-2024,13:27,935
gen9doublesou-0.txt,01-Sep-2024,13:27,60649
gen9doublesou-0.txt.gz,01-Sep-2024,13:27,15169
gen9doublesou-1500.txt,01-Sep-2024,13:27,60651
