File/Folder,Date,Time,Size
gen1ou-0.txt,01-Aug-2024,13:07,12263
gen1ou-0.txt.gz,01-Aug-2024,13:07,3160
gen1ou-1500.txt,01-Aug-2024,13:07,12265
gen1ou-1500.txt.gz,01-Aug-2024,13:07,3424
gen1ou-1630.txt,01-Aug-2024,13:07,12265
gen1ou-1630.txt.gz,01-Aug-2024,13:07,3311
gen1ou-1760.txt,01-Aug-2024,13:07,12265
gen1ou-1760.txt.gz,01-Aug-2024,13:07,3265
gen1zu-0.txt,01-Aug-2024,13:07,6030
gen1zu-0.txt.gz,01-Aug-2024,13:07,1670
gen1zu-1500.txt,01-Aug-2024,13:07,6032
gen1zu-1500.txt.gz,01-Aug-2024,13:07,1817
gen1zu-1630.txt,01-Aug-2024,13:07,6032
gen1zu-1630.txt.gz,01-Aug-2024,13:07,1761
gen1zu-1760.txt,01-Aug-2024,13:07,6032
gen1zu-1760.txt.gz,01-Aug-2024,13:07,1751
gen2moderngen2-0.txt,01-Aug-2024,13:07,3813
gen2moderngen2-0.txt.gz,01-Aug-2024,13:07,657
gen2moderngen2-1500.txt,01-Aug-2024,13:07,3815
gen2moderngen2-1500.txt.gz,01-Aug-2024,13:07,724
gen2moderngen2-1630.txt,01-Aug-2024,13:07,3813
gen2moderngen2-1630.txt.gz,01-Aug-2024,13:07,662
gen2moderngen2-1760.txt,01-Aug-2024,13:07,3813
gen2moderngen2-1760.txt.gz,01-Aug-2024,13:07,662
gen2ou-0.txt,01-Aug-2024,13:07,16608
gen2ou-0.txt.gz,01-Aug-2024,13:07,3999
gen2ou-1500.txt,01-Aug-2024,13:07,16609
gen2ou-1500.txt.gz,01-Aug-2024,13:07,4348
gen2ou-1630.txt,01-Aug-2024,13:07,16610
gen2ou-1630.txt.gz,01-Aug-2024,13:07,4251
gen2ou-1760.txt,01-Aug-2024,13:07,16610
gen2ou-1760.txt.gz,01-Aug-2024,13:07,4163
gen3ou-0.txt,01-Aug-2024,13:07,26040
gen3ou-0.txt.gz,01-Aug-2024,13:07,6400
gen3ou-1500.txt,01-Aug-2024,13:07,26042
gen3ou-1500.txt.gz,01-Aug-2024,13:07,6816
gen3ou-1630.txt,01-Aug-2024,13:07,26042
gen3ou-1630.txt.gz,01-Aug-2024,13:07,6728
gen3ou-1760.txt,01-Aug-2024,13:07,26041
gen3ou-1760.txt.gz,01-Aug-2024,13:07,6643
gen3zu-0.txt,01-Aug-2024,13:07,12591
gen3zu-0.txt.gz,01-Aug-2024,13:07,3665
gen3zu-1500.txt,01-Aug-2024,13:07,12593
gen3zu-1500.txt.gz,01-Aug-2024,13:07,3843
gen3zu-1630.txt,01-Aug-2024,13:07,12593
gen3zu-1630.txt.gz,01-Aug-2024,13:07,3822
gen3zu-1760.txt,01-Aug-2024,13:07,12593
