File/Folder,Date,Time,Size
gen1ou-0.txt,01-Jan-2025,17:35,12099
gen1ou-0.txt.gz,01-Jan-2025,17:35,3198
gen1ou-1500.txt,01-Jan-2025,17:35,12101
gen1ou-1500.txt.gz,01-Jan-2025,17:35,3395
gen1ou-1630.txt,01-Jan-2025,17:35,12101
gen1ou-1630.txt.gz,01-Jan-2025,17:35,3312
gen1ou-1760.txt,01-Jan-2025,17:35,12101
gen1ou-1760.txt.gz,01-Jan-2025,17:35,3264
gen2gscdoubles-0.txt,01-Jan-2025,17:35,7669
gen2gscdoubles-0.txt.gz,01-Jan-2025,17:35,1882
gen2gscdoubles-1500.txt,01-Jan-2025,17:35,7671
gen2gscdoubles-1500.txt.gz,01-Jan-2025,17:35,2105
gen2gscdoubles-1630.txt,01-Jan-2025,17:35,7671
gen2gscdoubles-1630.txt.gz,01-Jan-2025,17:35,2031
gen2gscdoubles-1760.txt,01-Jan-2025,17:35,7671
gen2gscdoubles-1760.txt.gz,01-Jan-2025,17:35,2018
gen2ou-0.txt,01-Jan-2025,17:35,15870
gen2ou-0.txt.gz,01-Jan-2025,17:35,4042
gen2ou-1500.txt,01-Jan-2025,17:35,15872
gen2ou-1500.txt.gz,01-Jan-2025,17:35,4342
gen2ou-1630.txt,01-Jan-2025,17:35,15872
gen2ou-1630.txt.gz,01-Jan-2025,17:35,4210
gen2ou-1760.txt,01-Jan-2025,17:35,15872
gen2ou-1760.txt.gz,01-Jan-2025,17:35,4131
gen3ou-0.txt,01-Jan-2025,17:35,26532
gen3ou-0.txt.gz,01-Jan-2025,17:35,6540
gen3ou-1500.txt,01-Jan-2025,17:35,26534
gen3ou-1500.txt.gz,01-Jan-2025,17:35,6919
gen3ou-1630.txt,01-Jan-2025,17:35,26533
gen3ou-1630.txt.gz,01-Jan-2025,17:35,6801
gen3ou-1760.txt,01-Jan-2025,17:35,26534
gen3ou-1760.txt.gz,01-Jan-2025,17:35,6720
gen3zu-0.txt,01-Jan-2025,17:35,11278
gen3zu-0.txt.gz,01-Jan-2025,17:35,3004
gen3zu-1500.txt,01-Jan-2025,17:35,11280
gen3zu-1500.txt.gz,01-Jan-2025,17:35,3249
gen3zu-1630.txt,01-Jan-2025,17:35,11280
gen3zu-1630.txt.gz,01-Jan-2025,17:35,3263
