File/Folder,Date,Time,Size
gen1ou-0.txt,01-Oct-2024,15:10,11853
gen1ou-0.txt.gz,01-Oct-2024,15:10,3065
gen1ou-1500.txt,01-Oct-2024,15:10,11855
gen1ou-1500.txt.gz,01-Oct-2024,15:10,3300
gen1ou-1630.txt,01-Oct-2024,15:10,11855
gen1ou-1630.txt.gz,01-Oct-2024,15:10,3234
gen1ou-1760.txt,01-Oct-2024,15:10,11855
gen1ou-1760.txt.gz,01-Oct-2024,15:10,3186
gen1pu-0.txt,01-Oct-2024,15:10,2502
gen1pu-0.txt.gz,01-Oct-2024,15:10,572
gen1pu-1500.txt,01-Oct-2024,15:10,2504
gen1pu-1500.txt.gz,01-Oct-2024,15:10,702
gen1pu-1630.txt,01-Oct-2024,15:10,2504
gen1pu-1630.txt.gz,01-Oct-2024,15:10,682
gen1pu-1760.txt,01-Oct-2024,15:10,2504
gen1pu-1760.txt.gz,01-Oct-2024,15:10,664
gen1rbycap-0.txt,01-Oct-2024,15:10,2009
gen1rbycap-0.txt.gz,01-Oct-2024,15:10,415
gen1rbycap-1500.txt,01-Oct-2024,15:10,2011
gen1rbycap-1500.txt.gz,01-Oct-2024,15:10,487
gen1rbycap-1630.txt,01-Oct-2024,15:10,2009
gen1rbycap-1630.txt.gz,01-Oct-2024,15:10,422
gen1rbycap-1760.txt,01-Oct-2024,15:10,2009
gen1rbycap-1760.txt.gz,01-Oct-2024,15:10,422
gen1ubers-0.txt,01-Oct-2024,15:10,3568
gen1ubers-0.txt.gz,01-Oct-2024,15:10,863
gen1ubers-1500.txt,01-Oct-2024,15:10,3570
gen1ubers-1500.txt.gz,01-Oct-2024,15:10,995
gen1ubers-1630.txt,01-Oct-2024,15:10,3570
gen1ubers-1630.txt.gz,01-Oct-2024,15:10,961
gen1ubers-1760.txt,01-Oct-2024,15:10,3570
gen1ubers-1760.txt.gz,01-Oct-2024,15:10,946
gen2ou-0.txt,01-Oct-2024,15:10,15378
gen2ou-0.txt.gz,01-Oct-2024,15:10,3766
gen2ou-1500.txt,01-Oct-2024,15:10,15380
gen2ou-1500.txt.gz,01-Oct-2024,15:10,4143
gen2ou-1630.txt,01-Oct-2024,15:10,15379
gen2ou-1630.txt.gz,01-Oct-2024,15:10,3985
gen2ou-1760.txt,01-Oct-2024,15:10,15380
gen2ou-1760.txt.gz,01-Oct-2024,15:10,3935
gen2ubers-0.txt,01-Oct-2024,15:10,11852
gen2ubers-0.txt.gz,01-Oct-2024,15:10,2571
gen2ubers-1500.txt,01-Oct-2024,15:10,11854
gen2ubers-1500.txt.gz,01-Oct-2024,15:10,2900
gen2ubers-1630.txt,01-Oct-2024,15:10,11852
gen2ubers-1630.txt.gz,01-Oct-2024,15:10,2734
gen2ubers-1760.txt,01-Oct-2024,15:10,11854
gen2ubers-1760.txt.gz,01-Oct-2024,15:10,2707
gen2zu-0.txt,01-Oct-2024,15:10,1195
gen2zu-0.txt.gz,01-Oct-2024,15:10,282
gen2zu-1500.txt,01-Oct-2024,15:10,1197
gen2zu-1500.txt.gz,01-Oct-2024,15:10,303
gen2zu-1630.txt,01-Oct-2024,15:10,1193
gen2zu-1630.txt.gz,01-Oct-2024,15:10,289
gen2zu-1760.txt,01-Oct-2024,15:10,1193
gen2zu-1760.txt.gz,01-Oct-2024,15:10,289
gen3ou-0.txt,01-Oct-2024,15:10,26286
gen3ou-0.txt.gz,01-Oct-2024,15:10,6507
gen3ou-1500.txt,01-Oct-2024,15:10,26288
gen3ou-1500.txt.gz,01-Oct-2024,15:10,6980
gen3ou-1630.txt,01-Oct-2024,15:10,26287
gen3ou-1630.txt.gz,01-Oct-2024,15:10,6840
gen3ou-1760.txt,01-Oct-2024,15:10,26288
gen3ou-1760.txt.gz,01-Oct-2024,15:10,6765
gen3pu-0.txt,01-Oct-2024,15:10,10786
gen3pu-0.txt.gz,01-Oct-2024,15:10,2568
gen3pu-1500.txt,01-Oct-2024,15:10,10787
gen3pu-1500.txt.gz,01-Oct-2024,15:10,2877
gen3pu-1630.txt,01-Oct-2024,15:10,10788
gen3pu-1630.txt.gz,01-Oct-2024,15:10,2867
gen3pu-1760.txt,01-Oct-2024,15:10,10788
gen3pu-1760.txt.gz,01-Oct-2024,15:10,2844
gen3zu-0.txt,01-Oct-2024,15:10,8407
gen3zu-0.txt.gz,01-Oct-2024,15:10,1948
gen3zu-1500.txt,01-Oct-2024,15:10,8409
gen3zu-1500.txt.gz,01-Oct-2024,15:10,2283
gen3zu-1630.txt,01-Oct-2024,15:10,8409
gen3zu-1630.txt.gz,01-Oct-2024,15:10,2205
gen3zu-1760.txt,01-Oct-2024,15:10,8409
gen3zu-1760.txt.gz,01-Oct-2024,15:10,2166
gen4nu-0.txt,01-Oct-2024,15:10,17264
gen4nu-0.txt.gz,01-Oct-2024,15:10,4541
gen4nu-1500.txt,01-Oct-2024,15:10,17266
gen4nu-1500.txt.gz,01-Oct-2024,15:10,4868
gen4nu-1630.txt,01-Oct-2024,15:10,17266
gen4nu-1630.txt.gz,01-Oct-2024,15:10,4849
gen4nu-1760.txt,01-Oct-2024,15:10,17266
gen4nu-1760.txt.gz,01-Oct-2024,15:10,4810
gen4ou-0.txt,01-Oct-2024,15:10,28499
gen4ou-0.txt.gz,01-Oct-2024,15:10,7087
gen4ou-1500.txt,01-Oct-2024,15:10,28501
gen4ou-1500.txt.gz,01-Oct-2024,15:10,7606
gen4ou-1630.txt,01-Oct-2024,15:10,28501
gen4ou-1630.txt.gz,01-Oct-2024,15:10,7402
gen4ou-1760.txt,01-Oct-2024,15:10,28501
gen4ou-1760.txt.gz,01-Oct-2024,15:10,7279
gen5ou-0.txt,01-Oct-2024,15:10,39651
gen5ou-0.txt.gz,01-Oct-2024,15:10,9294
gen5ou-1500.txt,01-Oct-2024,15:10,39653
gen5ou-1500.txt.gz,01-Oct-2024,15:10,10088
gen5ou-1630.txt,01-Oct-2024,15:10,39653
gen5ou-1630.txt.gz,01-Oct-2024,15:10,9863
gen5ou-1760.txt,01-Oct-2024,15:10,39653
gen5ou-1760.txt.gz,01-Oct-2024,15:10,9733
gen6doublesou-0.txt,01-Oct-2024,15:10,34894
gen6doublesou-0.txt.gz,01-Oct-2024,15:10,7055
gen6doublesou-1500.txt,01-Oct-2024,15:10,34896
gen6doublesou-1500.txt.gz,01-Oct-2024,15:10,8295
gen6doublesou-1630.txt,01-Oct-2024,15:10,34896
gen6doublesou-1630.txt.gz,01-Oct-2024,15:10,8076
gen6doublesou-1760.txt,01-Oct-2024,15:10,34896
gen6doublesou-1760.txt.gz,01-Oct-2024,15:10,7883
gen6megasrevisited-0.txt,01-Oct-2024,15:10,29154
gen6megasrevisited-0.txt.gz,01-Oct-2024,15:10,5646
gen6megasrevisited-1500.txt,01-Oct-2024,15:10,29156
gen6megasrevisited-1500.txt.gz,01-Oct-2024,15:10,6726
